stage 0, 37107287533902102798797998220837590246510135740250
stage 1, 46376937677490009712648124896970078050417018260538
stage 2, 74324986199524741059474233309513058123726617309629
stage 3, 91942213363574161572522430563301811072406154908250
stage 4, 23067588207539346171171980310421047513778063246676
stage 5, 89261670696623633820136378418383684178734361726757
stage 6, 28112879812849979408065481931592621691275889832738
stage 7, 44274228917432520321923589422876796487670272189318
stage 8, 47451445736001306439091167216856844588711603153276
stage 9, 70386486105843025439939619828917593665686757934951
stage 10, 62176457141856560629502157223196586755079324193331
stage 11, 64906352462741904929101432445813822663347944758178
stage 12, 92575867718337217661963751590579239728245598838407
stage 13, 58203565325359399008402633568948830189458628227828
stage 14, 80181199384826282014278194139940567587151170094390
stage 15, 35398664372827112653829987240784473053190104293586
stage 16, 86515506006295864861532075273371959191420517255829
stage 17, 71693888707715466499115593487603532921714970056938
stage 18, 54370070576826684624621495650076471787294438377604
stage 19, 53282654108756828443191190634694037855217779295145
stage 20, 36123272525000296071075082563815656710885258350721
stage 21, 45876576172410976447339110607218265236877223636045
stage 22, 17423706905851860660448207621209813287860733969412
stage 23, 81142660418086830619328460811191061556940512689692
stage 24, 51934325451728388641918047049293215058642563049483
stage 25, 62467221648435076201727918039944693004732956340691
stage 26, 15732444386908125794514089057706229429197107928209
stage 27, 55037687525678773091862540744969844508330393682126
stage 28, 18336384825330154686196124348767681297534375946515
stage 29, 80386287592878490201521685554828717201219257766954
stage 30, 78182833757993103614740356856449095527097864797581
stage 31, 16726320100436897842553539920931837441497806860984
stage 32, 48403098129077791799088218795327364475675590848030
stage 33, 87086987551392711854517078544161852424320693150332
stage 34, 59959406895756536782107074926966537676326235447210
stage 35, 69793950679652694742597709739166693763042633987085
stage 36, 41052684708299085211399427365734116182760315001271
stage 37, 65378607361501080857009149939512557028198746004375
stage 38, 35829035317434717326932123578154982629742552737307
stage 39, 94953759765105305946966067683156574377167401875275
stage 40, 88902802571733229619176668713819931811048770190271
stage 41, 25267680276078003013678680992525463401061632866526
stage 42, 36270218540497705585629946580636237993140746255962
stage 43, 24074486908231174977792365466257246923322810917141
stage 44, 91430288197103288597806669760892938638285025333403
stage 45, 34413065578016127815921815005561868836468420090470
stage 46, 23053081172816430487623791969842487255036638784583
stage 47, 11487696932154902810424020138335124462181441773470
stage 48, 63783299490636259666498587618221225225512486764533
stage 49, 67720186971698544312419572409913959008952310058822
stage 50, 95548255300263520781532296796249481641953868218774
stage 51, 76085327132285723110424803456124867697064507995236
stage 52, 37774242535411291684276865538926205024910326572967
stage 53, 23701913275725675285653248258265463092207058596522
stage 54, 29798860272258331913126375147341994889534765745501
stage 55, 18495701454879288984856827726077713721403798879715
stage 56, 38298203783031473527721580348144513491373226651381
stage 57, 34829543829199918180278916522431027392251122869539
stage 58, 40957953066405232632538044100059654939159879593635
